tpsa,hbd,hba,rotatable_bonds,heavy_atoms,heteroatoms,fused_rings,molar_ref,bertz_ct,canonical_SMILES,homo_ev,ewg_weighted
164.94,0,13,28,107,19,14,435.066000000001,5540.193849732954,CCCCC(CC)Cc1cccc(-c2c(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cccc(CC(CC)CCCC)c8)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CC)CCCC)c5c4n(CC(CC)CCCC)c32)c1,-5.57,4.5600000000000005
164.94,0,13,36,105,19,12,430.3640000000012,4944.533804382324,CCCCCCC(CCCC)CCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCC(CCCC)CCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,-5.74,4.5600000000000005
164.94,0,15,29,106,21,14,435.43700000000104,5823.955901368315,CCCCC(CC)Cc1csc(-c2c(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cc(CC(CC)CCCC)cs8)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CCC)CCCC)c5c4n(CC(CC)CCCC)c32)c1,-5.69,4.5600000000000005
164.94,0,15,31,106,21,14,435.57700000000096,5784.31063269725,CCCCCCCCc1ccc(-c2c(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8ccc(CCCCCCCC)s8)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CCC)CCCC)c5c4n(CC(CC)CCCC)c32)s1,-5.69,4.5600000000000005
164.94,0,15,29,106,21,14,435.437000000001,5823.955901368315,CCCCC(CC)Cc1ccc(-c2c(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8ccc(CC(CC)CCCC)s8)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CCC)CCCC)c5c4n(CC(CC)CCCC)c32)s1,-5.71,4.5600000000000005
129.29999999999998,0,8,44,109,12,11,462.6330000000015,4264.102552907782,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(Cl)c(Cl)cc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(C=C2C(=O)c4cc(Cl)c(Cl)cc4C2=C(C#N)C#N)sc1-3,-5.5,4.5600000000000005
129.29999999999998,0,8,8,71,10,11,286.4010000000001,3518.201991808769,CCC1(CC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccc(Cl)cc5C2=C(C#N)C#N)cc1C4(CC)CC)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccc(Cl)cc4C2=C(C#N)C#N)sc1-3,-5.46,4.1000000000000005
129.29999999999998,0,8,8,69,8,11,276.38099999999986,3402.0694266405762,CCC1(CC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CC)CC)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,-5.43,3.64
129.29999999999998,0,8,6,60,10,9,229.49899999999957,2909.225304717152,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccc(F)cc4C2=C(C#N)C#N)sc1-3,-5.52,4.1000000000000005
129.29999999999998,0,8,6,58,8,9,229.58299999999952,2796.3259557258007,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,-5.51,3.64
129.29999999999998,0,8,6,60,8,9,239.05699999999945,2896.9952488625518,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccc(C)cc4C2=C(C#N)C#N)sc1-3,-5.51,3.64
129.29999999999998,0,14,26,103,16,15,429.1620000000011,5117.211966122805,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)Cc3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)C2=C4SC3CC(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)SC23)s1,-5.74,4.1000000000000005
129.29999999999998,0,14,26,101,14,15,429.2460000000011,4989.309561050763,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)Cc3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)C2=C4SC3CC(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)SC23)s1,-5.66,3.64
129.29999999999998,0,10,10,88,10,15,358.8730000000009,4741.584489199257,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.48,3.64
