SMILES,HOMO,LUMO,Voc,Jsc,fill_factor,PCE,source_db,canonical_SMILES
C1cc2cccc(-c3sc(-c4cnc(s4)-c4Cccc4)c4cc[se]c34)c2c1,-4.95318686621745,-3.35242169052604,0.35318686621745,165.58312837885,,3.79990764675475,CEP,C1=CCC(c2ncc(-c3sc(-c4cccc5c4=CCC=5)c4[se]ccc34)s2)=C1
c1[nH]cc2c(cccc12)-c1cc2[se]c3c(sc4ccc5ccccc5c34)c2cn1,-5.05622180136005,-2.93934217189447,0.45622180136005,79.171245868,,2.34690725213292,CEP,c1cc(-c2cc3[se]c4c(sc5ccc6ccccc6c54)c3cn2)c2c[nH]cc2c1
C1C=c2c3cc[nH]c3c3c4nsnc4c4C=C([SiH2]c4c3c2=C1)c1cccc2cocc12,-4.95468549569274,-3.77733789432959,0.35468549569274,267.4756396104,,6.16424762564428,CEP,C1=C(c2cccc3cocc23)[SiH2]c2c1c1nsnc1c1c2c2c(c3cc[nH]c31)=CCC=2
[SiH2]1c(ccc1-c1ccccc1)-c1cnc(s1)-c1scc2cc[se]c12,-5.21031973097287,-3.45967757218115,0.61031973097287,137.1440476029,,5.43859583959868,CEP,C1=C(c2ccccc2)[SiH2]C(c2cnc(-c3scc4cc[se]c34)s2)=C1
C1C(=Cc2[se]c3c(ncc4ccoc34)c12)c1scc2[nH]ccc12,-4.78416473497368,-2.84889506896875,0.18416473497368,104.74488494535,,1.25340582657649,CEP,C1=C(c2scc3[nH]ccc23)Cc2c1[se]c1c2ncc2ccoc21
c1cc2c(sc(-c3ccc([se]3)-c3scc4ccoc34)c2[nH]1)-c1ccccn1,-4.83193206165656,-3.05125047318047,0.23193206165656,131.40055567535,,1.98020614130308,CEP,c1ccc(-c2sc(-c3ccc(-c4scc5ccoc45)[se]3)c3[nH]ccc23)nc1
c1cc2csc(-c3cc4c5cocc5c5ccc6cscc6c5c4s3)c2[se]1,-5.0614368547688,-3.12055733081308,0.4614368547688,103.77733495415,,3.11148136953896,CEP,c1cc2csc(-c3cc4c5cocc5c5ccc6cscc6c5c4s3)c2[se]1
c1[nH]cc2c1c1c([se]c3ccc4cscc4c13)c1ccc(cc21)-c1cccc2cscc12,-5.08390933376448,-2.86352228519756,0.48390933376448,67.0042784528,,2.10677883414554,CEP,c1cc(-c2ccc3c(c2)c2c[nH]cc2c2c3[se]c3ccc4cscc4c32)c2cscc2c1
C1C=Cc2csc(c12)-c1ccc2c3Cc4cc[nH]c4-c3sc2c1,-4.92223670081351,-2.44969480332558,0.32223670081351,42.757002440945,,0.895230079195661,CEP,C1=Cc2csc(-c3ccc4c5c(sc4c3)-c3[nH]ccc3C5)c2C1
c1scc2c1ccc1cnc3c4[se]c(cc4ncc3c21)-c1cccc2ccccc12,-5.65386154948021,-3.26884412946246,1.05386154948021,50.071467978285,,3.42867480642765,CEP,c1ccc2c(-c3cc4ncc5c(ncc6ccc7cscc7c65)c4[se]3)cccc2c1
c1csc(n1)-c1cnc2c3sc4ccc5cocc5c4c3cnc2c1,-5.62203726367142,-3.31380766377086,1.02203726367142,57.760344037825,,3.83573782040581,CEP,c1csc(-c2cnc3c(c2)ncc2c3sc3ccc4cocc4c32)n1
C1C=Cc2c1c1[nH]c(cc1c1cocc21)-c1scc2ccoc12,-4.6662911267476,-2.57955391695301,0.0662911267476003,83.1806309854,,0.358286153095605,CEP,C1=Cc2c(c3[nH]c(-c4scc5ccoc45)cc3c3cocc23)C1
C1C=c2c(cc3[se]c4c5[SiH2]C=Cc5[nH]c4c3c2=C1)-c1ccco1,-4.75425141960121,-3.1369755344472,0.15425141960121,161.87270899865,,1.62238983742284,CEP,C1=Cc2[nH]c3c([se]c4cc(-c5ccco5)c5c(c43)=CCC=5)c2[SiH2]1
[SiH2]1C=c2c3cc([nH]c3c3c4c[nH]cc4c4cc[nH]c4c3c2=C1)-c1scc2[se]ccc12,-4.61604337648534,-3.0983566196089,0.0160433764853403,184.64214047955,,0.192477076659652,CEP,C1=c2c(c3c4[nH]ccc4c4c[nH]cc4c3c3[nH]c(-c4scc5[se]ccc45)cc23)=C[SiH2]1
[SiH2]1C=c2c(cc3c4nsnc4c4c(oc5ccc6cocc6c45)c3c2=C1)-c1cccnc1,-5.35665242887093,-3.96397456772856,0.75665242887093,216.043665695,,10.6216107261915,CEP,C1=c2c(-c3cccnc3)cc3c4nsnc4c4c(oc5ccc6cocc6c54)c3c2=C[SiH2]1
