canonical_SMILES,homo_ev,ewg_weighted,mol_weight,n_arom_rings,conj_length,logp,CATE,CATE_se,source_db
CCCCC(CC)Cc1cccc(-c2c(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cccc(CC(CC)CCCC)c8)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CC)CCCC)c5c4n(CC(CC)CCCC)c32)c1,-5.57,4.56,1520.005,12,28,26.4618200000001,-0.0307076214273896,0.010710930146823,your_data
CCCCCCC(CCCC)CCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCC(CCCC)CCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,-5.74,4.56,1508.079,10,36,27.0288200000001,-0.0227031712651873,0.0106826057129993,your_data
CCCCC(CC)Cc1csc(-c2c(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cc(CC(CC)CCCC)cs8)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CCC)CCCC)c5c4n(CC(CC)CCCC)c32)c1,-5.69,4.56,1546.09,12,29,26.9749200000001,-0.0305163890395112,0.0109474958490341,your_data
CCCCCCCCc1ccc(-c2c(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8ccc(CCCCCCCC)s8)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CCC)CCCC)c5c4n(CC(CC)CCCC)c32)s1,-5.69,4.56,1546.09,12,31,27.2631200000001,-0.0284951971319767,0.011793663979348,your_data
CCCCC(CC)Cc1ccc(-c2c(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8ccc(CC(CC)CCCC)s8)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CCC)CCCC)c5c4n(CC(CC)CCCC)c32)s1,-5.71,4.56,1546.09,12,29,26.9749200000001,-0.0305553333629105,0.0107799050276428,your_data
CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(Cl)c(Cl)cc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(C=C2C(=O)c4cc(Cl)c(Cl)cc4C2=C(C#N)C#N)sc1-3,-5.5,4.56,1573.951,6,44,31.8876200000001,-0.0244018894105413,0.0104130037309334,your_data
CCC1(CC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccc(Cl)cc5C2=C(C#N)C#N)cc1C4(CC)CC)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccc(Cl)cc4C2=C(C#N)C#N)sc1-3,-5.46,4.1,1000.089,6,8,16.53722,-0.00736181598496401,0.0135261768787302,your_data
CCC1(CC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CC)CC)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,-5.43,3.64,931.198999999999,6,8,15.23042,0.00606125827190114,0.0195054390327147,your_data
CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccc(F)cc4C2=C(C#N)C#N)sc1-3,-5.52,4.1,822.962,5,6,12.42212,0.0254318903616343,0.0318691684357569,your_data
CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,-5.51,3.64,786.982,5,6,12.14392,0.02560689553878,0.0317950895857603,your_data
CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccc(C)cc4C2=C(C#N)C#N)sc1-3,-5.51,3.64,815.036,5,6,12.76076,0.0250299204730567,0.031974557991116,your_data
CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)Cc3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)C2=C4SC3CC(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)SC23)s1,-5.74,4.1,1506.139,9,26,25.2886200000001,-0.0298883375449745,0.0120315832381577,your_data
CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)Cc3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)C2=C4SC3CC(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)SC23)s1,-5.66,3.64,1470.159,9,26,25.0104200000001,-0.0272367178788778,0.0110800187409148,your_data
CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.48,3.64,1203.552,11,10,19.37612,-0.0361544982846948,0.0155852982864082,your_data
CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(CC)s5)c5c6c(sc5c(-c5ccc(CC)s5)c4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.43,3.64,1423.914,13,14,23.9579200000001,-0.0330809255155379,0.0136097897851805,your_data
CCC1(CC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2c1ccc1c3c(ccc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3,-5.65,4.56,909.002,6,6,13.85352,0.0172839891244542,0.0276310275538527,your_data
CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(c(CC)cc5c4cc(CC)c4c6c(sc45)-c4sc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)cc4C6(c4ccc(CC)cc4)c4ccc(CC)cc4)c32)cc1,-5.65,4.56,1381.68,12,12,22.21052,-0.0358544037682272,0.011473327579105,your_data
CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(C=C2C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,-5.7,3.64,1011.414,5,22,18.38552,-0.019715802408609,0.00939741890243898,your_data
CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)sc2-4)cc1,-5.82,4.56,1163.334,9,10,17.50312,-0.027063854081605,0.011856867770559,your_data
CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,-5.74,4.56,1275.512,11,10,19.93252,-0.0395311198973414,0.0164233654431166,your_data
CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,-5.52,4.56,1387.69,13,10,22.36192,-0.0385146045390297,0.00903903724196016,your_data
CCCCCCCCCCCCCCCCC1(CCCCCCCCCCCCCCCC)c2cc3c(cc2-c2sc(C=C4C(=O)c5ccc(C)cc5C4=C(C#N)C#N)cc21)C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)c1cc(/C=C2\Cc4ccc(-c5cc6c(s5)-c5sc(C)cc5C6(CC(CC)CCCC)CC(CC)CCCC)cc4C2=C(C#N)C#N)sc1-3,-5.52,3.14,1987.262,7,75,44.2356599999999,-0.0123238122771214,0.0078516935360057,your_data
CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8cc(F)ccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc23)cc1,-5.52,4.1,1351.71,13,10,22.08372,-0.038749971489979,0.00703463557769064,your_data
CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8c(F)cccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5c(F)cccc5C4=C(C#N)C#N)sc23)cc1,-5.54,4.1,1351.71,13,10,22.08372,-0.038749971489979,0.00703463557769064,your_data
CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8ccccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,-5.45,3.64,1315.73,13,10,21.80552,-0.0403266126113845,0.00814372416672741,your_data
CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)Cc3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)C2=C4SC3CC(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)SC23)s1,-5.75,4.56,1542.119,9,26,25.5668200000001,-0.0322112050131401,0.00908495504614631,your_data
CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)Cc3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccc(OC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)C2=C4SC3CC(C=C4C(=O)c5cc(OC)ccc5C4=C(C#N)C#N)SC23)s1,-5.67,3.64,1530.211,9,28,25.0276200000001,-0.0320662261585859,0.00876998045483084,your_data
CCc1ccc(C2(c3ccc(CC)cc3)Oc3c(sc4c5c(sc34)-c3sc(/C=C4\C(=O)c6cc(F)c(F)cc6C4=C(C#N)C#N)cc3C(c3ccc(CC)cc3)(c3ccc(CC)cc3)O5)-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc32)cc1,-5.64,4.56,1257.45,10,10,18.75572,-0.0349527737924722,0.0102905644534738,your_data
